1	\N
2	30
3	49
4	86
5	40
6	17
7	19
8	83
9	77
10	72
11	60
12	31
13	33
14	95
15	100
16	75
17	68
18	57
19	6
20	48
21	95
22	49
23	48
24	80
25	96
26	40
27	50
28	78
29	44
30	46
31	91
32	65
33	5
34	62
35	62
36	19
37	2
38	96
39	99
40	2
41	12
42	99
43	90
44	5
45	15
46	21
47	0
48	82
49	8
50	15
51	51
52	96
53	85
54	59
55	30
56	84
57	3
58	80
59	79
60	79
61	1
62	93
63	47
64	77
65	29
66	62
67	29
68	44
69	93
70	14
71	85
72	32
73	100
74	82
75	65
76	96
77	85
78	61
79	35
80	11
81	77
82	45
83	45
84	66
85	8
86	88
87	52
88	17
89	49
90	12
91	7
92	28
93	3
94	73
95	31
96	14
97	64
98	6
99	58
100	73
